,Assassin,Gunner,Kamikaze,Duelist,Battle Medic,Sweeper,Sniper,Mage,Cannon,Druid,Skirmisher,Hazard,Gladiator,Team Support,Harasser,Wall,Tank,Lead,Healer,Ambulance,Flyer,ENT
258,0.13,0.38,0.795,0.045,0.0,0.555,0.045,1.045,0.235,0.385,0.025,0.01,0.535,0.01,0.03,0.71,0.02,0.035,0.005,0.0,0.005,2.249210547762879
259,0.105,0.33,0.735,0.065,0.01,0.535,0.095,1.04,0.225,0.45,0.01,0.005,0.56,0.015,0.055,0.665,0.025,0.07,0.0,0.005,0.0,2.301609960669524
260,0.09,0.33,0.63,0.09,0.01,0.44,0.13,1.085,0.245,0.56,0.0,0.015,0.61,0.01,0.04,0.64,0.015,0.05,0.0,0.005,0.005,2.296312131918057
261,0.11,0.33,0.575,0.045,0.005,0.445,0.165,1.13,0.28,0.5,0.025,0.015,0.62,0.01,0.03,0.62,0.01,0.075,0.0,0.005,0.005,2.3110251532742763
262,0.08,0.35,0.535,0.06,0.005,0.46,0.195,1.205,0.25,0.495,0.035,0.03,0.55,0.01,0.005,0.675,0.01,0.05,0.0,0.0,0.0,2.275514794867129
263,0.055,0.425,0.555,0.055,0.0,0.455,0.285,1.135,0.26,0.49,0.01,0.025,0.505,0.015,0.015,0.63,0.015,0.06,0.0,0.005,0.005,2.302782529433783
264,0.07,0.53,0.44,0.085,0.015,0.39,0.39,1.085,0.21,0.545,0.0,0.01,0.47,0.01,0.015,0.62,0.015,0.08,0.005,0.01,0.005,2.335697883150259
265,0.03,0.65,0.435,0.11,0.025,0.4,0.365,1.055,0.175,0.58,0.01,0.015,0.36,0.0,0.03,0.695,0.035,0.03,0.0,0.0,0.0,2.29716328011131
266,0.0,0.675,0.52,0.06,0.02,0.345,0.42,0.96,0.135,0.64,0.015,0.01,0.31,0.005,0.02,0.815,0.015,0.02,0.0,0.005,0.01,2.2367157006795946
267,0.015,0.515,0.53,0.055,0.02,0.305,0.44,0.945,0.175,0.765,0.005,0.005,0.305,0.02,0.01,0.83,0.02,0.035,0.0,0.0,0.005,2.2458311726720166
268,0.03,0.545,0.52,0.07,0.0,0.245,0.485,0.875,0.14,0.795,0.025,0.005,0.35,0.02,0.03,0.84,0.005,0.015,0.005,0.0,0.0,2.2422837713104644
